ID,Selected Content,Sub_Question,Raw_Stage1_Output,Sub_Question_Cleaned
248,"Lack of decent TV channels, only in the evening (past 9 pm) you can actually find something to watch. There are only ~10 channels, half in Greek and half in Russian, and maybe one or two in English (in the evenings)",是否有多档且质量良好的电视频道，并且它们的使用语言具体有哪些？,"The key sub-question needed to determine sentiment is whether there are decent TV channels and their availability in different languages.

```json
{
  ""sub_question"": ""是否有多档且质量良好的电视频道，并且它们的使用语言具体有哪些？""
}
```",How does the guest evaluate their experience in this hotel review?
251,friendly staff,What does the guest perceive as the quality and friendliness of the staff?,"[
  {
    ""sub_question"": ""What does the guest perceive as the quality and friendliness of the staff?""
  }
]",What does the guest perceive as the quality and friendliness of the staff?
252,Exceptionally clean and brand new.,"['exceptionally clean', 'brand new']","```json
{
  ""sub_question"": [""exceptionally clean"", ""brand new""]
}
```",exceptionally clean brand new
252,Exceptionally clean and brand new.,How does the hotel describe its rooms regarding cleanliness and newness.,"The specific information needed is: How does the hotel describe its rooms regarding cleanliness and newness.

```json
{
  ""sub_question"": ""How does the hotel describe its rooms regarding cleanliness and newness.""
}
```",How does the hotel describe its rooms regarding cleanliness and newness.
252,Breakfast was freshly made and delicious.,How does the guest evaluate the convenience and surroundings of the hotel's location?,"```json
{
  ""sub_question"": ""How does the guest evaluate the convenience and surroundings of the hotel's location?""
}
```",How does the guest evaluate the convenience and surroundings of the hotel's location?
252,Everyone very friendly,How does the guest perceive their experience with the hotel's overall environment?,"[
  {
    ""sub_question"": ""How does the guest perceive their experience with the hotel's overall environment?""
  }
]",How does the guest perceive their experience with the hotel's overall environment?
254,Wonderful modern family run small hotel.,,"The specific information needed to determine the sentiment of the review ""Wonderful modern family run small hotel"" would include details about customer feedback regarding food quality, service, room comfort, and overall experience.",What is the guest's overall experience described in the content?
254,It’s very close to the airport which worked for us.,How does the guest describe the convenience and surroundings of the hotel building?,"The hotel review indicates that being close to an airport was convenient for the guest. 

JSON object:

```json
{
  ""sub_question"": ""How does the guest describe the convenience and surroundings of the hotel building?""
}
```",How does the guest describe the convenience and surroundings of the hotel building?
254,"The rooms are spotless, the shower fantastic. The pictures are very true to life.",,"The specific question to determine sentiment is: ""How does the guest's feedback regarding the photos ensure that they effectively capture the true living space of the hotel rooms?""",What is the guest's overall experience described in the content?
254,The family were so helpful.,How does the guest perceive the level of assistance provided by the family members in the hotel?,"```json
{
  ""sub_question"": ""How does the guest perceive the level of assistance provided by the family members in the hotel?""
}
```",How does the guest perceive the level of assistance provided by the family members in the hotel?
256,clean and modern,What specific details did the guest find regarding the hotel's cleanliness and modern design that contributed to their experience?,"[
  {
    ""sub_question"": ""What specific details did the guest find regarding the hotel's cleanliness and modern design that contributed to their experience?""
  }
]",What specific details did the guest find regarding the hotel's cleanliness and modern design that contributed to their experience?
257,"Very modern, clean hotel",How does the guest describe the quality and cleanliness of the hotel?,"[
  {
    ""sub_question"": ""How does the guest describe the quality and cleanliness of the hotel?""
  }
]",How does the guest describe the quality and cleanliness of the hotel?
